Sale Price,City,Neighborhood,Pincode,Property Size (sqft),Lot Size,Bedrooms,Bathrooms,Year Built,Nearby Amenities,Market Trends
5222000,Perambalur,Perambalur Sector 1,60953,1787,2560,2,1,2015,"Market, Bus Stand",Stable
12623000,Thiruvarur,Thiruvarur Sector 7,60991,4433,5433,2,2,2004,"Temple, Gym",Stable
2369000,Tirunelveli,Tirunelveli Sector 8,63487,778,1708,2,1,2017,"Market, Bus Stand",Stable
2656000,Virudhunagar,Virudhunagar Sector 4,64999,915,1790,1,1,2008,,Stable
8957000,Kallakurichi,Kallakurichi Sector 5,63171,3105,3331,3,3,1994,"Hospital, Mall",Stable
7207000,Mayiladuthurai,Mayiladuthurai Sector 4,61499,2505,2833,2,1,2016,"Hospital, Mall",Stable
13479000,Vellore,Vellore Sector 5,63611,3625,4287,4,3,2001,"Parks, School",Rising
11364000,Kallakurichi,Kallakurichi Sector 4,61102,3997,4373,2,2,2023,"Hospital, Mall",Declining
5304000,Theni,Theni Sector 4,62998,1854,2815,1,1,2011,,Stable
7151000,Tenkasi,Tenkasi Sector 4,62692,2381,3026,5,5,2000,"Parks, School",Stable
10646000,Pudukkottai,Pudukkottai Sector 5,64989,3650,4261,4,3,2019,,Stable
6454000,Pudukkottai,Pudukkottai Sector 4,64245,2122,3051,5,5,2008,"Hospital, Mall",Declining
7908000,Kancheepuram,Kancheepuram Sector 3,60106,1622,2280,1,1,1993,"Temple, Gym",Rising
11171000,Dindigul,Dindigul Sector 4,64890,3894,4722,3,3,2012,"Temple, Gym",Stable
4562000,Kanniyakumari,Kanniyakumari Sector 9,64883,1578,1871,1,1,2007,"Hospital, Mall",Declining
10760000,Krishnagiri,Krishnagiri Sector 5,64469,3721,3971,3,2,1992,"Parks, School",Declining
11891000,Dharmapuri,Dharmapuri Sector 8,64318,4117,4761,4,3,2006,,Declining
14772000,Tiruppur,Tiruppur Sector 2,60286,3672,4043,1,1,2018,,Stable
6138000,Dindigul,Dindigul Sector 7,64300,2095,2530,3,3,1996,"Hospital, Mall",Declining
12505000,Tirunelveli,Tirunelveli Sector 5,60156,4425,4933,1,1,2005,"Hospital, Mall",Stable
3249000,Theni,Theni Sector 10,64759,1091,1543,2,2,2002,"Temple, Gym",Declining
12374000,Nagapattinam,Nagapattinam Sector 6,62431,4285,4781,4,3,1998,"Hospital, Mall",Declining
6509000,Tirunelveli,Tirunelveli Sector 7,60472,2293,3207,1,1,2013,,Stable
15445000,Erode,Erode Sector 4,60706,4350,5221,2,2,2003,"Temple, Gym",Declining
10447000,Tenkasi,Tenkasi Sector 6,60535,3679,4520,1,1,2002,"Parks, School",Stable
5121000,The Nilgiris,The Nilgiris Sector 9,61876,841,1633,1,1,2011,"Parks, School",Declining
6465000,Tirupathur,Tirupathur Sector 4,60700,2275,3203,1,1,2003,"Market, Bus Stand",Stable
2934000,Kallakurichi,Kallakurichi Sector 7,62815,1025,1515,1,1,2005,,Rising
10654000,Namakkal,Namakkal Sector 3,60973,3750,4433,2,2,2003,"Hospital, Mall",Stable
12145000,Kancheepuram,Kancheepuram Sector 4,60284,2507,2900,1,1,1995,,Rising
10936000,Kanniyakumari,Kanniyakumari Sector 7,62848,3718,4586,5,4,2001,"Temple, Gym",Stable
7442000,Dharmapuri,Dharmapuri Sector 4,63742,2489,3476,5,4,2004,"Parks, School",Stable
3470000,Virudhunagar,Virudhunagar Sector 6,64493,1046,1292,5,4,2014,,Stable
12372000,Kallakurichi,Kallakurichi Sector 10,64156,4328,5192,3,3,1999,"Market, Bus Stand",Stable
9971000,Coimbatore,Coimbatore Sector 6,63776,1721,2320,5,5,2018,"Parks, School",Stable
3085000,Thiruvallur,Thiruvallur Sector 2,60290,921,1902,5,5,2014,"Market, Bus Stand",Stable
2462000,Nagapattinam,Nagapattinam Sector 6,63404,799,1013,2,1,2003,"Temple, Gym",Declining
4925000,Ranipet,Ranipet Sector 2,61854,1682,2426,2,1,2000,"Market, Bus Stand",Rising
15166000,Chengalpattu,Chengalpattu Sector 1,64645,3019,3882,1,1,2012,,Stable
2234000,Kanniyakumari,Kanniyakumari Sector 10,60454,674,1367,3,2,1998,"Market, Bus Stand",Stable
10163000,Ramanathapuram,Ramanathapuram Sector 10,62440,3479,4230,4,3,2016,"Parks, School",Stable
20447000,Coimbatore,Coimbatore Sector 3,61461,3677,3905,2,2,1991,"Temple, Gym",Stable
2191000,Virudhunagar,Virudhunagar Sector 10,60157,756,1257,1,1,2003,,Stable
30760000,Chennai,Chennai Sector 2,62590,3562,4534,5,4,2015,"Market, Bus Stand",Declining
3760000,Mayiladuthurai,Mayiladuthurai Sector 2,63798,1210,1753,4,3,2000,"Parks, School",Stable
13063000,Chengalpattu,Chengalpattu Sector 2,63238,2570,3096,2,2,2004,"Parks, School",Stable
16604000,Salem,Salem Sector 10,64108,4234,4721,5,4,2019,"Parks, School",Declining
11690000,Dharmapuri,Dharmapuri Sector 1,64350,4143,4652,1,1,2020,"Parks, School",Stable
9728000,Tiruchirappalli,Tiruchirappalli Sector 3,63404,2188,2738,5,5,1996,"Market, Bus Stand",Stable
25057000,The Nilgiris,The Nilgiris Sector 2,62474,4124,4832,3,2,1995,"Parks, School",Stable
5016000,Thiruvallur,Thiruvallur Sector 3,64456,1670,2454,3,2,2007,"Hospital, Mall",Stable
5538000,Perambalur,Perambalur Sector 3,63532,1895,2329,2,1,2001,,Stable
3081000,Virudhunagar,Virudhunagar Sector 1,60684,1055,1338,1,1,2013,"Hospital, Mall",Stable
6508000,Thiruvallur,Thiruvallur Sector 8,60897,2177,2419,4,4,1995,"Hospital, Mall",Stable
11433000,Tiruchirappalli,Tiruchirappalli Sector 5,64848,2673,3673,2,1,1990,"Market, Bus Stand",Stable
12507000,Tirunelveli,Tirunelveli Sector 6,62842,4380,4716,2,1,2000,,Stable
3007000,Tirunelveli,Tirunelveli Sector 9,60434,1014,1684,2,2,2015,"Temple, Gym",Stable
8960000,Ranipet,Ranipet Sector 2,64514,3163,3507,1,1,1992,,Rising
11904000,Vellore,Vellore Sector 6,62503,3246,4245,2,1,2020,"Hospital, Mall",Stable
10054000,Ranipet,Ranipet Sector 9,61883,3496,3748,3,3,2021,"Temple, Gym",Stable
10544000,Kancheepuram,Kancheepuram Sector 5,62645,2144,3128,3,2,2001,"Parks, School",Stable
13709000,Salem,Salem Sector 7,63892,3468,3956,5,5,2012,,Declining
11421000,Cuddalore,Cuddalore Sector 4,63678,4023,4774,2,1,2000,"Temple, Gym",Stable
17360000,Tiruppur,Tiruppur Sector 4,64205,4324,5233,1,1,1994,"Temple, Gym",Stable
7155000,Kancheepuram,Kancheepuram Sector 6,63140,1417,1929,4,4,1997,"Parks, School",Stable
7779000,Tirunelveli,Tirunelveli Sector 3,63206,2608,3104,5,5,2020,"Hospital, Mall",Rising
6982000,Virudhunagar,Virudhunagar Sector 5,61490,2438,3236,2,1,2004,"Hospital, Mall",Stable
12950000,Dharmapuri,Dharmapuri Sector 9,62226,4446,4894,5,5,2016,"Market, Bus Stand",Stable
5992000,Karur,Karur Sector 2,60628,2114,2823,1,1,1997,"Market, Bus Stand",Stable
5513000,Krishnagiri,Krishnagiri Sector 4,62612,1947,2681,1,1,1995,"Hospital, Mall",Declining
8615000,Sivaganga,Sivaganga Sector 3,61201,2929,3358,4,3,2024,"Temple, Gym",Stable
22183000,Coimbatore,Coimbatore Sector 6,60579,3948,4854,5,5,2012,,Stable
5897000,Tirupathur,Tirupathur Sector 4,60920,2049,2497,2,1,2021,"Hospital, Mall",Rising
2960000,Ramanathapuram,Ramanathapuram Sector 3,63272,928,1548,4,3,1996,"Temple, Gym",Rising
10797000,Tiruppur,Tiruppur Sector 7,62184,2568,3248,5,5,2000,"Parks, School",Declining
5046000,Thoothukudi,Thoothukudi Sector 7,62960,1488,2401,3,3,1999,"Temple, Gym",Stable
7241000,Tiruvannamalai,Tiruvannamalai Sector 1,62432,2450,2684,4,3,2015,"Parks, School",Declining
8288000,Theni,Theni Sector 10,63246,2928,3911,1,1,2004,"Temple, Gym",Rising
8704000,Kanniyakumari,Kanniyakumari Sector 4,64764,2926,3172,5,5,2002,"Temple, Gym",Stable
8728000,Pudukkottai,Pudukkottai Sector 6,60595,3096,3372,1,1,2009,"Market, Bus Stand",Stable
27924000,Chennai,Chennai Sector 8,62706,3237,4107,4,3,2010,"Parks, School",Rising
4412000,Namakkal,Namakkal Sector 6,62372,1526,2075,1,1,2006,"Hospital, Mall",Declining
10352000,Dindigul,Dindigul Sector 8,63816,3578,4347,3,2,2000,"Hospital, Mall",Declining
13887000,Salem,Salem Sector 2,60270,3585,4417,3,3,1996,"Market, Bus Stand",Stable
5964000,Vellore,Vellore Sector 5,62924,1511,1952,5,4,2006,"Hospital, Mall",Stable
12030000,Ariyalur,Ariyalur Sector 9,62754,4217,5172,2,1,2012,,Stable
17958000,Kancheepuram,Kancheepuram Sector 6,62949,3715,3993,1,1,2009,"Market, Bus Stand",Declining
2771000,Dharmapuri,Dharmapuri Sector 4,62603,968,1232,1,1,2005,,Stable
5083000,Virudhunagar,Virudhunagar Sector 10,63396,1642,2190,5,5,2013,"Market, Bus Stand",Rising
10954000,Theni,Theni Sector 3,60552,3784,4270,4,4,2003,"Hospital, Mall",Rising
11401000,Perambalur,Perambalur Sector 5,62702,3997,4641,2,2,2020,"Parks, School",Stable
26618000,The Nilgiris,The Nilgiris Sector 5,64242,4367,4626,4,4,2001,,Stable
7365000,Dharmapuri,Dharmapuri Sector 3,63751,2503,3448,4,3,2020,"Market, Bus Stand",Stable
6995000,Perambalur,Perambalur Sector 10,64497,2355,3043,4,3,2013,,Stable
6117000,Mayiladuthurai,Mayiladuthurai Sector 7,64108,2149,3045,1,1,1990,"Hospital, Mall",Stable
11082000,Thiruvarur,Thiruvarur Sector 6,63344,3902,4640,2,2,2010,,Stable
11117000,Krishnagiri,Krishnagiri Sector 6,61649,3811,4529,4,3,1995,"Hospital, Mall",Declining
10893000,Sivaganga,Sivaganga Sector 10,60555,3748,4541,4,3,2008,"Market, Bus Stand",Rising
4017000,Chengalpattu,Chengalpattu Sector 7,60289,789,1487,1,1,2000,"Market, Bus Stand",Stable
6835000,Thoothukudi,Thoothukudi Sector 6,63609,2072,2871,2,2,1999,"Temple, Gym",Stable
5305000,Sivaganga,Sivaganga Sector 8,63561,1862,2371,1,1,2013,"Hospital, Mall",Declining
8391000,Thiruvallur,Thiruvallur Sector 10,64364,2937,3447,2,1,2009,"Temple, Gym",Stable
14204000,Salem,Salem Sector 7,60830,3641,4455,4,3,1997,,Stable
9454000,Kanniyakumari,Kanniyakumari Sector 7,61574,3274,4001,3,2,2007,"Market, Bus Stand",Stable
10337000,Theni,Theni Sector 2,63697,3631,4604,2,2,2006,"Parks, School",Declining
7895000,Tirupathur,Tirupathur Sector 2,60897,2696,3333,3,2,2018,"Hospital, Mall",Stable
15204000,Kancheepuram,Kancheepuram Sector 6,62130,3088,3814,4,4,1996,"Market, Bus Stand",Stable
8651000,Ranipet,Ranipet Sector 3,62194,2917,3264,5,4,1992,,Declining
11493000,Tiruvannamalai,Tiruvannamalai Sector 8,64809,4045,4536,2,1,1993,,Declining
2326000,Tirupathur,Tirupathur Sector 3,61960,698,1225,4,3,2019,"Temple, Gym",Stable
15538000,Vellore,Vellore Sector 3,62380,4174,4895,5,5,2020,,Rising
11271000,Chennai,Chennai Sector 10,62999,1304,1601,2,1,2016,"Temple, Gym",Declining
13450000,Vellore,Vellore Sector 7,62966,3679,4658,2,1,2005,"Hospital, Mall",Stable
2809000,Thiruvarur,Thiruvarur Sector 5,64901,935,1284,2,2,2014,"Hospital, Mall",Stable
10868000,Viluppuram,Viluppuram Sector 8,63986,3718,4645,5,4,2023,,Stable
4578000,Kallakurichi,Kallakurichi Sector 3,60818,1472,2037,5,4,2004,,Stable
7402000,Dindigul,Dindigul Sector 2,62840,2557,2792,2,2,1997,"Temple, Gym",Stable
9172000,Karur,Karur Sector 6,62914,3083,3514,5,5,2021,"Market, Bus Stand",Stable
8427000,Pudukkottai,Pudukkottai Sector 4,62889,2880,3555,4,3,2012,,Declining
2794000,Salem,Salem Sector 10,64869,620,1127,4,4,1995,"Parks, School",Declining
7680000,Thanjavur,Thanjavur Sector 6,61243,2547,2763,5,5,2018,"Hospital, Mall",Declining
12229000,Virudhunagar,Virudhunagar Sector 5,63261,4232,5224,4,3,2017,,Stable
6257000,Perambalur,Perambalur Sector 2,62298,2068,2714,5,5,1999,"Hospital, Mall",Stable
3616000,Thiruvarur,Thiruvarur Sector 5,63547,1141,1688,4,3,2020,"Hospital, Mall",Rising
10017000,Theni,Theni Sector 8,64692,3546,4331,1,1,2006,"Market, Bus Stand",Rising
3075000,Thanjavur,Thanjavur Sector 3,60942,933,1933,5,5,1995,,Stable
7100000,Kallakurichi,Kallakurichi Sector 8,60153,2472,2999,2,1,2020,,Stable
3108000,Perambalur,Perambalur Sector 3,64280,995,1446,3,2,2007,"Temple, Gym",Stable
4151000,Viluppuram,Viluppuram Sector 10,62612,1451,2304,1,1,2009,"Hospital, Mall",Stable
9618000,Kallakurichi,Kallakurichi Sector 2,60691,3378,3860,2,2,2017,"Parks, School",Stable
5981000,Tirunelveli,Tirunelveli Sector 6,63220,2055,2498,2,1,1990,"Parks, School",Declining
5571000,Thoothukudi,Thoothukudi Sector 4,62526,1573,2405,5,5,1993,,Declining
9790000,Theni,Theni Sector 7,63866,3437,3873,2,2,2011,"Temple, Gym",Stable
12120000,Virudhunagar,Virudhunagar Sector 7,64158,4260,4809,2,1,1995,,Declining
4114000,Chengalpattu,Chengalpattu Sector 3,62810,726,1688,5,4,2023,,Declining
16184000,Tiruppur,Tiruppur Sector 5,63831,3922,4406,5,4,2020,"Temple, Gym",Stable
6291000,Chengalpattu,Chengalpattu Sector 2,61573,1156,1991,5,5,2008,,Rising
3853000,Ranipet,Ranipet Sector 9,61378,1211,1772,5,4,2009,"Hospital, Mall",Stable
8377000,Kallakurichi,Kallakurichi Sector 8,64358,2870,3338,3,2,2019,,Stable
12116000,Krishnagiri,Krishnagiri Sector 9,60483,4246,4720,2,1,2013,"Hospital, Mall",Declining
8437000,Tirupathur,Tirupathur Sector 7,62645,2960,3339,1,1,2003,"Temple, Gym",Rising
8579000,Madurai,Madurai Sector 2,64822,1822,2517,4,3,2023,"Hospital, Mall",Declining
3736000,Namakkal,Namakkal Sector 2,60411,1141,1938,5,4,2013,"Parks, School",Rising
5158000,Perambalur,Perambalur Sector 2,60317,1696,2043,4,3,2007,"Market, Bus Stand",Stable
2042000,Mayiladuthurai,Mayiladuthurai Sector 9,62794,626,1601,3,2,2022,,Stable
9594000,Erode,Erode Sector 3,64233,2612,3486,5,4,2021,"Market, Bus Stand",Declining
11975000,Theni,Theni Sector 8,60640,4109,4857,5,4,1992,"Temple, Gym",Stable
3582000,Theni,Theni Sector 1,60734,1233,1643,1,1,2021,,Declining
7506000,Tirupathur,Tirupathur Sector 7,62138,2538,2773,4,4,1997,"Temple, Gym",Declining
5977000,Namakkal,Namakkal Sector 10,63953,2024,2663,3,3,2023,"Parks, School",Rising
11074000,Ramanathapuram,Ramanathapuram Sector 10,63689,3914,4586,1,1,2002,"Hospital, Mall",Declining
2669000,Thoothukudi,Thoothukudi Sector 10,61425,724,1657,4,4,1997,"Parks, School",Stable
22450000,The Nilgiris,The Nilgiris Sector 2,61694,3685,4119,3,3,2016,"Temple, Gym",Declining
7867000,Madurai,Madurai Sector 2,64448,1685,2144,3,3,2004,"Hospital, Mall",Declining
3234000,Tiruppur,Tiruppur Sector 7,63840,721,1263,3,2,2022,"Parks, School",Stable
9520000,Viluppuram,Viluppuram Sector 8,62574,3313,3910,2,1,2001,"Market, Bus Stand",Stable
4309000,Vellore,Vellore Sector 5,60788,1175,2051,1,1,2007,,Stable
7839000,Namakkal,Namakkal Sector 4,61734,2711,3368,2,2,2021,,Declining
3261000,Cuddalore,Cuddalore Sector 5,62772,1022,1680,4,3,2024,"Hospital, Mall",Stable
8959000,Coimbatore,Coimbatore Sector 4,61656,1537,2221,5,5,2020,,Stable
4261000,Sivaganga,Sivaganga Sector 1,64235,1431,2288,3,2,2014,"Hospital, Mall",Rising
11191000,Dindigul,Dindigul Sector 5,64284,3834,4115,5,5,2015,"Market, Bus Stand",Declining
10726000,Tirunelveli,Tirunelveli Sector 5,63693,3692,4353,4,3,2014,"Market, Bus Stand",Rising
9296000,Dharmapuri,Dharmapuri Sector 6,63666,3258,3541,2,1,2024,"Market, Bus Stand",Declining
12688000,Coimbatore,Coimbatore Sector 2,62927,2278,3196,2,2,2012,"Market, Bus Stand",Stable
6594000,Cuddalore,Cuddalore Sector 6,63667,2204,2485,4,3,1990,,Declining
4122000,Kanniyakumari,Kanniyakumari Sector 10,62322,1341,1941,4,4,1993,,Declining
3981000,Viluppuram,Viluppuram Sector 9,62688,1394,1743,1,1,2024,"Temple, Gym",Stable
8315000,Ranipet,Ranipet Sector 2,60241,2889,3775,2,1,2015,,Rising
3143000,Tenkasi,Tenkasi Sector 2,61338,1066,2043,2,1,2012,"Parks, School",Declining
8629000,Ranipet,Ranipet Sector 7,61912,2996,3634,2,1,2019,,Declining
3520000,Tenkasi,Tenkasi Sector 10,64827,1090,1549,5,5,2017,"Market, Bus Stand",Stable
3014000,Tirunelveli,Tirunelveli Sector 8,61512,1055,1685,1,1,2018,"Hospital, Mall",Rising
3724000,Kancheepuram,Kancheepuram Sector 4,62970,683,1134,4,4,2007,"Hospital, Mall",Stable
2949000,Thoothukudi,Thoothukudi Sector 9,63194,898,1159,1,1,1990,"Temple, Gym",Declining
2877000,Thiruvarur,Thiruvarur Sector 9,64524,937,1740,3,2,2019,"Market, Bus Stand",Stable
5123000,Coimbatore,Coimbatore Sector 4,63931,850,1541,4,4,2011,"Hospital, Mall",Rising
11483000,Tirupathur,Tirupathur Sector 5,64527,3964,4472,4,3,2015,,Stable
8130000,Tirupathur,Tirupathur Sector 8,62976,2808,3528,3,2,2002,,Stable
8395000,Sivaganga,Sivaganga Sector 4,64673,2903,3610,3,3,2021,"Temple, Gym",Declining
15423000,Kancheepuram,Kancheepuram Sector 1,61378,3136,3960,4,3,2016,,Rising
2674000,Ranipet,Ranipet Sector 9,60828,763,1542,5,5,2016,,Rising
6346000,Kallakurichi,Kallakurichi Sector 10,62536,2096,2332,5,4,2022,"Temple, Gym",Rising
5638000,Nagapattinam,Nagapattinam Sector 7,63303,1941,2830,2,2,2019,"Temple, Gym",Rising
8797000,Nagapattinam,Nagapattinam Sector 10,64822,2977,3748,5,4,2015,"Temple, Gym",Rising
13388000,Madurai,Madurai Sector 9,61850,2857,3234,5,4,2004,"Parks, School",Stable
3994000,Thanjavur,Thanjavur Sector 4,64309,1271,1766,4,4,2014,"Hospital, Mall",Rising
6779000,Sivaganga,Sivaganga Sector 9,64225,2238,3068,5,4,2002,,Rising
9738000,Sivaganga,Sivaganga Sector 8,63577,3424,4091,2,1,2011,,Stable
7110000,Thiruvallur,Thiruvallur Sector 7,63583,2478,3002,2,2,2014,"Temple, Gym",Stable
10975000,Tirunelveli,Tirunelveli Sector 1,60308,3840,4748,2,1,2013,"Hospital, Mall",Declining
4118000,The Nilgiris,The Nilgiris Sector 7,63773,634,1208,3,3,1990,"Temple, Gym",Rising
7045000,Thoothukudi,Thoothukudi Sector 4,61377,2108,2741,3,2,1994,"Hospital, Mall",Stable
9542000,Thiruvallur,Thiruvallur Sector 9,64346,3367,4043,1,1,2006,"Hospital, Mall",Stable
8118000,Chennai,Chennai Sector 3,60316,915,1430,3,2,2015,"Market, Bus Stand",Declining
11707000,The Nilgiris,The Nilgiris Sector 1,62794,1863,2681,5,4,2012,"Market, Bus Stand",Stable
11533000,Kancheepuram,Kancheepuram Sector 3,62549,2314,3154,4,4,2015,"Market, Bus Stand",Declining
18159000,Kancheepuram,Kancheepuram Sector 9,61999,3688,4200,5,5,1999,"Temple, Gym",Stable
3350000,Ranipet,Ranipet Sector 4,62700,1094,1978,3,2,2005,,Declining
8298000,Pudukkottai,Pudukkottai Sector 5,64212,2935,3685,1,1,1996,"Parks, School",Declining
5884000,Cuddalore,Cuddalore Sector 1,61602,1966,2772,4,3,1995,"Parks, School",Stable
2238000,Virudhunagar,Virudhunagar Sector 1,60448,762,1706,1,1,2006,,Stable
12682000,Karur,Karur Sector 7,61108,4452,5326,2,2,2003,,Stable
9063000,Nagapattinam,Nagapattinam Sector 3,60616,3209,3744,1,1,1996,"Temple, Gym",Stable
7618000,Tirupathur,Tirupathur Sector 8,63997,2541,3043,5,5,2001,"Parks, School",Declining
2744000,Kanniyakumari,Kanniyakumari Sector 1,60998,937,1910,1,1,2003,"Hospital, Mall",Stable
1976000,Kanniyakumari,Kanniyakumari Sector 5,64141,678,1101,1,1,2002,"Parks, School",Declining
7118000,Thiruvarur,Thiruvarur Sector 4,63115,2349,2692,5,4,2005,"Temple, Gym",Stable
2396000,Virudhunagar,Virudhunagar Sector 8,64483,812,1756,1,1,2020,"Market, Bus Stand",Stable
10207000,Dindigul,Dindigul Sector 5,63442,3457,3930,5,4,1996,"Market, Bus Stand",Declining
4309000,Namakkal,Namakkal Sector 10,60339,1517,2253,1,1,2020,"Parks, School",Stable
7975000,Nagapattinam,Nagapattinam Sector 7,60529,2806,3095,1,1,2005,"Market, Bus Stand",Stable
2433000,Sivaganga,Sivaganga Sector 1,61755,769,1232,3,3,2024,"Hospital, Mall",Rising
14255000,Vellore,Vellore Sector 4,62401,3837,4038,4,3,2017,"Temple, Gym",Stable
8771000,Tiruvannamalai,Tiruvannamalai Sector 3,63602,3100,3997,1,1,2023,"Market, Bus Stand",Declining
12737000,Tiruvannamalai,Tiruvannamalai Sector 1,62845,4353,4855,5,5,2003,"Temple, Gym",Declining
8764000,Erode,Erode Sector 4,62101,2407,3143,3,3,2024,,Declining
12047000,Dharmapuri,Dharmapuri Sector 5,60876,4226,4908,2,2,2021,"Hospital, Mall",Stable
8722000,Thoothukudi,Thoothukudi Sector 8,64258,2703,3457,1,1,2008,"Market, Bus Stand",Stable
12584000,Tiruchirappalli,Tiruchirappalli Sector 7,62721,2936,3198,3,2,1991,"Market, Bus Stand",Stable
11735000,Nagapattinam,Nagapattinam Sector 4,60560,4085,4869,3,2,1997,"Parks, School",Stable
6624000,Virudhunagar,Virudhunagar Sector 1,61667,2209,3066,4,3,1999,"Parks, School",Stable
5848000,Kancheepuram,Kancheepuram Sector 4,64811,1175,1406,2,2,2002,"Market, Bus Stand",Declining
7971000,Salem,Salem Sector 8,61675,1972,2504,5,5,1991,"Market, Bus Stand",Stable
3294000,Mayiladuthurai,Mayiladuthurai Sector 9,62667,1069,1529,3,2,2014,"Temple, Gym",Stable
14426000,Kancheepuram,Kancheepuram Sector 1,64453,2990,3433,1,1,2018,"Market, Bus Stand",Rising
10221000,Dindigul,Dindigul Sector 1,62368,3559,4156,3,3,2018,"Hospital, Mall",Stable
12001000,Chengalpattu,Chengalpattu Sector 1,60497,2336,2666,3,3,1993,"Temple, Gym",Rising
6267000,Nagapattinam,Nagapattinam Sector 3,61972,2119,2926,3,3,2009,"Hospital, Mall",Declining
8278000,Tiruvannamalai,Tiruvannamalai Sector 9,62332,2877,3607,2,2,2023,"Market, Bus Stand",Declining
6047000,Coimbatore,Coimbatore Sector 7,64637,1090,1745,1,1,2008,"Temple, Gym",Stable
12435000,Sivaganga,Sivaganga Sector 3,60356,4303,5142,4,4,1997,"Parks, School",Rising
6889000,Ranipet,Ranipet Sector 6,61484,2372,2957,2,2,1995,"Market, Bus Stand",Declining
34886000,Chennai,Chennai Sector 3,62271,4062,5011,4,3,2008,"Parks, School",Declining
3686000,Erode,Erode Sector 5,61880,927,1857,4,4,2013,"Hospital, Mall",Rising
4830000,Erode,Erode Sector 3,60198,1272,2212,4,4,2003,,Stable
7792000,Thanjavur,Thanjavur Sector 1,64932,2757,3283,1,1,2019,,Stable
5381000,Chennai,Chennai Sector 10,61875,601,1213,3,2,2011,"Hospital, Mall",Declining
6619000,Theni,Theni Sector 9,62694,2269,3122,3,3,2006,"Hospital, Mall",Stable
19313000,Kancheepuram,Kancheepuram Sector 9,60247,4006,4972,1,1,2018,"Temple, Gym",Declining
4610000,Dindigul,Dindigul Sector 10,60208,1627,2623,1,1,1997,,Stable
9492000,Virudhunagar,Virudhunagar Sector 7,64957,3290,3806,3,2,2015,"Market, Bus Stand",Stable
2297000,Kallakurichi,Kallakurichi Sector 3,62837,656,903,5,5,1996,,Declining
7986000,Kanniyakumari,Kanniyakumari Sector 4,64617,2722,2994,4,4,2001,"Parks, School",Declining
7564000,Viluppuram,Viluppuram Sector 6,64736,2552,3092,4,4,2002,"Parks, School",Stable
12983000,Madurai,Madurai Sector 5,62286,2865,3794,1,1,2019,"Hospital, Mall",Stable
9773000,Ramanathapuram,Ramanathapuram Sector 9,60996,3417,3859,2,2,2004,"Market, Bus Stand",Stable
6640000,Ranipet,Ranipet Sector 3,64265,2230,2631,4,4,1996,"Parks, School",Stable
3341000,Vellore,Vellore Sector 1,60757,778,1308,5,4,1995,"Hospital, Mall",Declining
3759000,Dharmapuri,Dharmapuri Sector 10,64133,1282,1843,2,1,2017,"Hospital, Mall",Rising
11748000,Vellore,Vellore Sector 4,61189,3197,3529,2,2,2015,"Market, Bus Stand",Declining
10963000,Kancheepuram,Kancheepuram Sector 9,61809,2263,2670,1,1,2016,"Parks, School",Declining
19500000,The Nilgiris,The Nilgiris Sector 1,60734,3168,3894,5,5,1999,"Market, Bus Stand",Stable
3608000,Kancheepuram,Kancheepuram Sector 5,64789,696,1365,3,3,2010,"Parks, School",Stable
10450000,Viluppuram,Viluppuram Sector 6,64984,3541,4501,5,5,1996,"Market, Bus Stand",Rising
13441000,Vellore,Vellore Sector 1,63780,3657,4273,3,3,1992,"Parks, School",Declining
9404000,Sivaganga,Sivaganga Sector 4,63323,3274,3837,2,2,1991,"Parks, School",Stable
6850000,Dharmapuri,Dharmapuri Sector 8,62998,2336,2540,3,3,2008,,Declining
5076000,Thiruvarur,Thiruvarur Sector 10,63206,1789,2525,1,1,2021,"Parks, School",Stable
8626000,Kallakurichi,Kallakurichi Sector 9,60663,2938,3800,4,4,2003,"Market, Bus Stand",Declining
12596000,Madurai,Madurai Sector 5,61329,2692,3393,5,4,2019,"Temple, Gym",Rising
9591000,Dindigul,Dindigul Sector 7,60148,3254,3823,5,5,2010,"Parks, School",Declining
10388000,Cuddalore,Cuddalore Sector 1,60958,3595,3996,3,2,2009,"Temple, Gym",Stable
7020000,Pudukkottai,Pudukkottai Sector 1,63603,2407,2715,3,2,1997,"Parks, School",Rising
3115000,Cuddalore,Cuddalore Sector 5,64499,928,1503,5,4,2013,"Hospital, Mall",Declining
13052000,Thoothukudi,Thoothukudi Sector 2,62107,4059,4475,1,1,1993,"Hospital, Mall",Stable
15727000,Chengalpattu,Chengalpattu Sector 10,63189,3123,3777,1,1,2006,"Market, Bus Stand",Rising
6370000,Thanjavur,Thanjavur Sector 7,62707,2138,2552,4,4,2016,"Parks, School",Stable
6453000,Sivaganga,Sivaganga Sector 10,64653,2272,2852,1,1,2024,"Temple, Gym",Stable
9313000,Tiruchirappalli,Tiruchirappalli Sector 10,60529,2144,3135,3,3,2004,"Market, Bus Stand",Rising
11661000,Tiruppur,Tiruppur Sector 1,62216,2807,3130,4,3,2006,"Hospital, Mall",Stable
12069000,Erode,Erode Sector 6,60792,3382,4153,2,1,2003,"Hospital, Mall",Rising
4086000,Ranipet,Ranipet Sector 3,60312,1337,2023,3,3,2005,"Parks, School",Rising
6578000,Tirupathur,Tirupathur Sector 7,60112,2323,2632,1,1,2008,"Temple, Gym",Stable
7352000,Erode,Erode Sector 10,63542,1995,2974,4,3,2003,"Hospital, Mall",Stable
